Load,SpeedRef,condition_id,row_count,faultcode_count,primary_split
5,3600,L5__SR3600,3800,19,SIM_TRAIN
5,3700,L5__SR3700,3781,19,SIM_TRAIN
5,3800,L5__SR3800,3800,19,SIM_TRAIN
5,3900,L5__SR3900,3781,19,SIM_TRAIN
5,4000,L5__SR4000,3781,19,SIM_VALIDATION
5,4100,L5__SR4100,3790,19,SIM_TRAIN
5,4200,L5__SR4200,3781,19,SIM_TRAIN
5,4300,L5__SR4300,3781,19,SIM_TRAIN
5,4400,L5__SR4400,3800,19,SIM_TRAIN
5,4500,L5__SR4500,3781,19,SIM_VALIDATION
5,4600,L5__SR4600,3799,19,SIM_VALIDATION
5,4700,L5__SR4700,3781,19,SIM_TRAIN
5,4800,L5__SR4800,3787,19,SIM_TRAIN
5,4900,L5__SR4900,3781,19,SIM_TRAIN
5,5000,L5__SR5000,3382,19,SIM_TRAIN
10,500,L10__SR500,3655,19,SIM_TRAIN
10,600,L10__SR600,3686,19,SIM_TRAIN
10,700,L10__SR700,3692,19,SIM_TRAIN
10,800,L10__SR800,3718,19,SIM_VALIDATION
10,900,L10__SR900,3743,19,SIM_VALIDATION
10,1000,L10__SR1000,3740,19,SIM_TRAIN
10,1100,L10__SR1100,3727,19,SIM_TRAIN
10,1200,L10__SR1200,3743,19,SIM_TRAIN
10,1300,L10__SR1300,3746,19,SIM_TRAIN
10,1400,L10__SR1400,3746,19,SIM_TRAIN
10,1500,L10__SR1500,3743,19,SIM_TRAIN
10,1600,L10__SR1600,3762,19,SIM_TRAIN
10,1700,L10__SR1700,3762,19,SIM_VALIDATION
10,1800,L10__SR1800,3771,19,SIM_TRAIN
10,1900,L10__SR1900,3762,19,SIM_TRAIN
10,2000,L10__SR2000,3781,19,SIM_TRAIN
10,2100,L10__SR2100,3765,19,SIM_TRAIN
10,2200,L10__SR2200,3771,19,SIM_TRAIN
10,2300,L10__SR2300,3762,19,SIM_VALIDATION
10,2400,L10__SR2400,3762,19,SIM_TRAIN
10,2500,L10__SR2500,3768,19,SIM_TRAIN
10,2600,L10__SR2600,3762,19,SIM_VALIDATION
10,2700,L10__SR2700,3762,19,SIM_TRAIN
10,2800,L10__SR2800,3768,19,SIM_TRAIN
10,2900,L10__SR2900,3762,19,SIM_TRAIN
10,3000,L10__SR3000,3762,19,SIM_TRAIN
10,3100,L10__SR3100,3762,19,SIM_TRAIN
10,3200,L10__SR3200,3781,19,SIM_TRAIN
10,3300,L10__SR3300,3781,19,SIM_TRAIN
10,3400,L10__SR3400,3781,19,SIM_TRAIN
10,3500,L10__SR3500,3762,19,SIM_TRAIN
10,3600,L10__SR3600,3800,19,SIM_TRAIN
10,3700,L10__SR3700,3781,19,SIM_TRAIN
10,3800,L10__SR3800,3800,19,SIM_VALIDATION
10,3900,L10__SR3900,3781,19,SIM_VALIDATION
10,4000,L10__SR4000,3781,19,SIM_TRAIN
10,4100,L10__SR4100,3781,19,SIM_TRAIN
10,4200,L10__SR4200,3781,19,SIM_TRAIN
10,4300,L10__SR4300,3799,19,SIM_VALIDATION
10,4400,L10__SR4400,3800,19,SIM_TRAIN
10,4500,L10__SR4500,3781,19,SIM_TRAIN
10,4600,L10__SR4600,3785,19,SIM_TRAIN
10,4700,L10__SR4700,3781,19,SIM_TRAIN
10,4800,L10__SR4800,3797,19,SIM_VALIDATION
10,4900,L10__SR4900,3781,19,SIM_TRAIN
10,5000,L10__SR5000,3382,19,SIM_TRAIN
15,500,L15__SR500,3658,19,SIM_TRAIN
15,600,L15__SR600,3686,19,SIM_TRAIN
15,700,L15__SR700,3698,19,SIM_TRAIN
15,800,L15__SR800,3715,19,SIM_TRAIN
15,900,L15__SR900,3743,19,SIM_TRAIN
15,1000,L15__SR1000,3737,19,SIM_TRAIN
15,1100,L15__SR1100,3724,19,SIM_TRAIN
15,1200,L15__SR1200,3743,19,SIM_TRAIN
15,1300,L15__SR1300,3749,19,SIM_TRAIN
15,1400,L15__SR1400,3749,19,SIM_TRAIN
15,1500,L15__SR1500,3743,19,SIM_VALIDATION
15,1600,L15__SR1600,3762,19,SIM_TRAIN
15,1700,L15__SR1700,3762,19,SIM_TRAIN
15,1800,L15__SR1800,3768,19,SIM_TRAIN
15,1900,L15__SR1900,3771,19,SIM_TRAIN
15,2000,L15__SR2000,3781,19,SIM_TRAIN
15,2100,L15__SR2100,3771,19,SIM_TRAIN
15,2200,L15__SR2200,3762,19,SIM_TRAIN
15,2300,L15__SR2300,3762,19,SIM_VALIDATION
15,2400,L15__SR2400,3771,19,SIM_VALIDATION
15,2500,L15__SR2500,3762,19,SIM_TRAIN
15,2600,L15__SR2600,3762,19,SIM_VALIDATION
15,2700,L15__SR2700,3765,19,SIM_TRAIN
15,2800,L15__SR2800,3762,19,SIM_TRAIN
15,2900,L15__SR2900,3762,19,SIM_TRAIN
15,3000,L15__SR3000,3762,19,SIM_TRAIN
15,3100,L15__SR3100,3762,19,SIM_TRAIN
15,3200,L15__SR3200,3781,19,SIM_TRAIN
15,3300,L15__SR3300,3781,19,SIM_VALIDATION
15,3400,L15__SR3400,3781,19,SIM_TRAIN
15,3500,L15__SR3500,3762,19,SIM_TRAIN
15,3600,L15__SR3600,3800,19,SIM_VALIDATION
15,3700,L15__SR3700,3781,19,SIM_TRAIN
15,3800,L15__SR3800,3800,19,SIM_VALIDATION
15,3900,L15__SR3900,3781,19,SIM_VALIDATION
15,4000,L15__SR4000,3781,19,SIM_VALIDATION
15,4100,L15__SR4100,3784,19,SIM_TRAIN
15,4200,L15__SR4200,3787,19,SIM_TRAIN
15,4300,L15__SR4300,3781,19,SIM_TRAIN
15,4400,L15__SR4400,3800,19,SIM_TRAIN
15,4500,L15__SR4500,3781,19,SIM_TRAIN
15,4600,L15__SR4600,3794,19,SIM_TRAIN
15,4700,L15__SR4700,3781,19,SIM_TRAIN
15,4800,L15__SR4800,3781,19,SIM_TRAIN
15,4900,L15__SR4900,3781,19,SIM_TRAIN
15,5000,L15__SR5000,3382,19,SIM_TRAIN
20,500,L20__SR500,3667,19,SIM_TRAIN
20,600,L20__SR600,3686,19,SIM_TRAIN
20,700,L20__SR700,3686,19,SIM_TRAIN
20,800,L20__SR800,3724,19,SIM_TRAIN
20,900,L20__SR900,3743,19,SIM_TRAIN
20,1000,L20__SR1000,3731,19,SIM_TRAIN
20,1100,L20__SR1100,3730,19,SIM_TRAIN
20,1200,L20__SR1200,3743,19,SIM_TRAIN
20,1300,L20__SR1300,3749,19,SIM_TRAIN
20,1400,L20__SR1400,3743,19,SIM_TRAIN
20,1500,L20__SR1500,3743,19,SIM_TRAIN
20,1600,L20__SR1600,3762,19,SIM_TRAIN
20,1700,L20__SR1700,3762,19,SIM_VALIDATION
20,1800,L20__SR1800,3762,19,SIM_VALIDATION
20,1900,L20__SR1900,3765,19,SIM_VALIDATION
20,2000,L20__SR2000,3781,19,SIM_VALIDATION
20,2100,L20__SR2100,3768,19,SIM_TRAIN
20,2200,L20__SR2200,3768,19,SIM_TRAIN
20,2300,L20__SR2300,3762,19,SIM_TRAIN
20,2400,L20__SR2400,3768,19,SIM_TRAIN
20,2500,L20__SR2500,3771,19,SIM_VALIDATION
20,2600,L20__SR2600,3762,19,SIM_TRAIN
20,2700,L20__SR2700,3762,19,SIM_TRAIN
20,2800,L20__SR2800,3768,19,SIM_TRAIN
20,2900,L20__SR2900,3762,19,SIM_TRAIN
20,3000,L20__SR3000,3762,19,SIM_TRAIN
20,3100,L20__SR3100,3768,19,SIM_TRAIN
20,3200,L20__SR3200,3781,19,SIM_TRAIN
20,3300,L20__SR3300,3781,19,SIM_TRAIN
20,3400,L20__SR3400,3781,19,SIM_VALIDATION
20,3500,L20__SR3500,3762,19,SIM_TRAIN
20,3600,L20__SR3600,3800,19,SIM_TRAIN
20,3700,L20__SR3700,3781,19,SIM_TRAIN
20,3800,L20__SR3800,3800,19,SIM_TRAIN
20,3900,L20__SR3900,3781,19,SIM_TRAIN
20,4000,L20__SR4000,3781,19,SIM_TRAIN
20,4100,L20__SR4100,3781,19,SIM_TRAIN
20,4200,L20__SR4200,3781,19,SIM_TRAIN
20,4300,L20__SR4300,3793,19,SIM_VALIDATION
20,4400,L20__SR4400,3800,19,SIM_TRAIN
20,4500,L20__SR4500,3781,19,SIM_TRAIN
20,4600,L20__SR4600,3784,19,SIM_VALIDATION
20,4700,L20__SR4700,3781,19,SIM_TRAIN
20,4800,L20__SR4800,3800,19,SIM_TRAIN
20,4900,L20__SR4900,3781,19,SIM_TRAIN
20,5000,L20__SR5000,3382,19,SIM_VALIDATION
25,500,L25__SR500,3655,19,SIM_TRAIN
25,600,L25__SR600,3686,19,SIM_VALIDATION
25,700,L25__SR700,3692,19,SIM_TRAIN
25,800,L25__SR800,3718,19,SIM_TRAIN
25,900,L25__SR900,3743,19,SIM_TRAIN
25,1000,L25__SR1000,3743,19,SIM_TRAIN
25,1100,L25__SR1100,3724,19,SIM_TRAIN
25,1200,L25__SR1200,3743,19,SIM_VALIDATION
25,1300,L25__SR1300,3743,19,SIM_TRAIN
25,1400,L25__SR1400,3749,19,SIM_TRAIN
25,1500,L25__SR1500,3743,19,SIM_TRAIN
25,1600,L25__SR1600,3762,19,SIM_TRAIN
25,1700,L25__SR1700,3762,19,SIM_TRAIN
25,1800,L25__SR1800,3768,19,SIM_TRAIN
25,1900,L25__SR1900,3762,19,SIM_TRAIN
25,2000,L25__SR2000,3781,19,SIM_TRAIN
25,2100,L25__SR2100,3762,19,SIM_VALIDATION
25,2200,L25__SR2200,3768,19,SIM_TRAIN
25,2300,L25__SR2300,3762,19,SIM_VALIDATION
25,2400,L25__SR2400,3765,19,SIM_TRAIN
25,2500,L25__SR2500,3762,19,SIM_TRAIN
25,2600,L25__SR2600,3762,19,SIM_TRAIN
25,2700,L25__SR2700,3765,19,SIM_TRAIN
25,2800,L25__SR2800,3762,19,SIM_VALIDATION
25,2900,L25__SR2900,3762,19,SIM_VALIDATION
25,3000,L25__SR3000,3765,19,SIM_VALIDATION
25,3100,L25__SR3100,3762,19,SIM_TRAIN
25,3200,L25__SR3200,3781,19,SIM_TRAIN
25,3300,L25__SR3300,3781,19,SIM_TRAIN
25,3400,L25__SR3400,3781,19,SIM_TRAIN
25,3500,L25__SR3500,3762,19,SIM_VALIDATION
25,3600,L25__SR3600,3800,19,SIM_TRAIN
25,3700,L25__SR3700,3781,19,SIM_TRAIN
25,3800,L25__SR3800,3800,19,SIM_TRAIN
25,3900,L25__SR3900,3781,19,SIM_TRAIN
25,4000,L25__SR4000,3781,19,SIM_TRAIN
25,4100,L25__SR4100,3781,19,SIM_TRAIN
25,4200,L25__SR4200,3787,19,SIM_TRAIN
25,4300,L25__SR4300,3787,19,SIM_TRAIN
25,4400,L25__SR4400,3800,19,SIM_TRAIN
25,4500,L25__SR4500,3781,19,SIM_TRAIN
25,4600,L25__SR4600,3788,19,SIM_TRAIN
25,4700,L25__SR4700,3784,19,SIM_VALIDATION
25,4800,L25__SR4800,3781,19,SIM_TRAIN
25,4900,L25__SR4900,3781,19,SIM_TRAIN
25,5000,L25__SR5000,3382,19,SIM_TRAIN
30,500,L30__SR500,3655,19,SIM_VALIDATION
30,600,L30__SR600,3689,19,SIM_TRAIN
30,700,L30__SR700,3698,19,SIM_TRAIN
30,800,L30__SR800,3715,19,SIM_TRAIN
30,900,L30__SR900,3743,19,SIM_TRAIN
30,1000,L30__SR1000,3734,19,SIM_TRAIN
30,1100,L30__SR1100,3724,19,SIM_TRAIN
30,1200,L30__SR1200,3743,19,SIM_TRAIN
30,1300,L30__SR1300,3752,19,SIM_TRAIN
30,1400,L30__SR1400,3746,19,SIM_TRAIN
30,1500,L30__SR1500,3743,19,SIM_VALIDATION
30,1600,L30__SR1600,3762,19,SIM_TRAIN
30,1700,L30__SR1700,3762,19,SIM_TRAIN
30,1800,L30__SR1800,3762,19,SIM_TRAIN
30,1900,L30__SR1900,3771,19,SIM_TRAIN
30,2000,L30__SR2000,3778,19,SIM_TRAIN
30,2100,L30__SR2100,3774,19,SIM_TRAIN
30,2200,L30__SR2200,3762,19,SIM_TRAIN
30,2300,L30__SR2300,3762,19,SIM_TRAIN
30,2400,L30__SR2400,3768,19,SIM_VALIDATION
30,2500,L30__SR2500,3762,19,SIM_TRAIN
30,2600,L30__SR2600,3762,19,SIM_VALIDATION
30,2700,L30__SR2700,3768,19,SIM_TRAIN
30,2800,L30__SR2800,3762,19,SIM_VALIDATION
30,2900,L30__SR2900,3762,19,SIM_TRAIN
30,3000,L30__SR3000,3762,19,SIM_TRAIN
30,3100,L30__SR3100,3771,19,SIM_TRAIN
30,3200,L30__SR3200,3781,19,SIM_TRAIN
30,3300,L30__SR3300,3781,19,SIM_TRAIN
30,3400,L30__SR3400,3781,19,SIM_TRAIN
30,3500,L30__SR3500,3762,19,SIM_VALIDATION
30,3600,L30__SR3600,3800,19,SIM_VALIDATION
30,3700,L30__SR3700,3781,19,SIM_TRAIN
30,3800,L30__SR3800,3800,19,SIM_VALIDATION
30,3900,L30__SR3900,3781,19,SIM_TRAIN
30,4000,L30__SR4000,3781,19,SIM_TRAIN
30,4100,L30__SR4100,3793,19,SIM_TRAIN
30,4200,L30__SR4200,3781,19,SIM_TRAIN
30,4300,L30__SR4300,3788,19,SIM_TRAIN
30,4400,L30__SR4400,3800,19,SIM_TRAIN
30,4500,L30__SR4500,3781,19,SIM_TRAIN
30,4600,L30__SR4600,3796,19,SIM_TRAIN
30,4700,L30__SR4700,3800,19,SIM_TRAIN
30,4800,L30__SR4800,3800,19,SIM_TRAIN
30,4900,L30__SR4900,3800,19,SIM_TRAIN
30,5000,L30__SR5000,3344,19,SIM_VALIDATION
35,500,L35__SR500,3667,19,SIM_TRAIN
35,600,L35__SR600,3686,19,SIM_VALIDATION
35,700,L35__SR700,3686,19,SIM_TRAIN
35,800,L35__SR800,3724,19,SIM_TRAIN
35,900,L35__SR900,3743,19,SIM_TRAIN
35,1000,L35__SR1000,3728,19,SIM_VALIDATION
35,1100,L35__SR1100,3736,19,SIM_TRAIN
35,1200,L35__SR1200,3743,19,SIM_TRAIN
35,1300,L35__SR1300,3749,19,SIM_TRAIN
35,1400,L35__SR1400,3743,19,SIM_TRAIN
35,1500,L35__SR1500,3743,19,SIM_TRAIN
35,1600,L35__SR1600,3762,19,SIM_TRAIN
35,1700,L35__SR1700,3762,19,SIM_TRAIN
35,1800,L35__SR1800,3768,19,SIM_VALIDATION
35,1900,L35__SR1900,3762,19,SIM_TRAIN
35,2000,L35__SR2000,3781,19,SIM_VALIDATION
35,2100,L35__SR2100,3768,19,SIM_TRAIN
35,2200,L35__SR2200,3774,19,SIM_TRAIN
35,2300,L35__SR2300,3768,19,SIM_TRAIN
35,2400,L35__SR2400,3762,19,SIM_TRAIN
35,2500,L35__SR2500,3768,19,SIM_TRAIN
35,2600,L35__SR2600,3762,19,SIM_TRAIN
35,2700,L35__SR2700,3762,19,SIM_TRAIN
35,2800,L35__SR2800,3768,19,SIM_TRAIN
35,2900,L35__SR2900,3762,19,SIM_TRAIN
35,3000,L35__SR3000,3762,19,SIM_TRAIN
35,3100,L35__SR3100,3762,19,SIM_VALIDATION
35,3200,L35__SR3200,3781,19,SIM_TRAIN
35,3300,L35__SR3300,3781,19,SIM_TRAIN
35,3400,L35__SR3400,3781,19,SIM_TRAIN
35,3500,L35__SR3500,3762,19,SIM_TRAIN
35,3600,L35__SR3600,3800,19,SIM_TRAIN
35,3700,L35__SR3700,3781,19,SIM_TRAIN
35,3800,L35__SR3800,3800,19,SIM_VALIDATION
35,3900,L35__SR3900,3781,19,SIM_TRAIN
35,4000,L35__SR4000,3781,19,SIM_VALIDATION
35,4100,L35__SR4100,3782,19,SIM_VALIDATION
35,4200,L35__SR4200,3790,19,SIM_TRAIN
35,4300,L35__SR4300,3799,19,SIM_TRAIN
35,4400,L35__SR4400,3819,19,SIM_TRAIN
35,4500,L35__SR4500,3800,19,SIM_TRAIN
35,4600,L35__SR4600,3800,19,SIM_TRAIN
35,4700,L35__SR4700,3800,19,SIM_TRAIN
35,4800,L35__SR4800,3815,19,SIM_VALIDATION
35,4900,L35__SR4900,3788,19,SIM_TRAIN
35,5000,L35__SR5000,3290,19,SIM_TRAIN
